lowest_taxon,transient,genus,site_code,collection_date,max_forklength,my_rep,carbon,nitrogen,sulfur,c_percent,n_percent,s_percent,order,family,species,guild,transient_type,is_diadromous,id
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,40,1,-27.85101853,21.88745179,2.55,42.29,12.61,0.82,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,80,1,-25.26300104,20.16069055,3.92,47.86,14.92,0.97,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,120,1,-26.15469258,19.12028795,3.92,47.56,14.47,0.92,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,AR,2020-01-15,120,1,-26.68423595,19.78999007,4.48,44.62,13.09,0.82,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,80,1,-27.91808614,19.34192656,1.48,48.43,15.01,0.91,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,80,2,-25.97568831,18.57222829,3.9,47.44,14.81,0.89,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,120,1,-24.26932158,15.57834449,4.86,52.08,16.68,0.92,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,120,2,-25.45367858,17.34500169,4.51,64.96,20.7,0.93,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,80,1,-27.13828823,21.15730335,2.3,46.96,14.39,0.97,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,80,2,-23.43594741,16.81949463,5.53,47.94,15.05,1.07,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,120,1,-25.21323693,20.57543881,4.6,47.37,14.8,0.94,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,120,2,-23.44813454,15.40672681,6.12,47.87,14.62,1.02,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,80,1,-24.92277705,18.58646354,4.1,49.99,15.17,1.01,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,80,2,-25.7961879,19.60769285,4.23,46.32,14.39,1.03,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,1,-24.7988477,18.18687344,4.78,48.62,14.23,1,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,2,-25.19995081,19.57961262,4.37,48.76,14.85,1.02,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,3,-24.36826271,19.00121181,4.06,48.76,14.61,1.06,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,4,-24.60591171,17.75091228,4.78,48.68,14.94,0.92,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,40,1,-26.48272945,18.47041475,2.41,38.05,10.51,0.77,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
